prey growth rate,0.8
prey death rate,0.2
predator growth rate,0.0004
predator death,0.2
x,500
y,20
n,90000
t (days),180

timestep,x,y
1.14,1186.83,22.8794
1.142,1188.62,22.892
1.144,1190.42,22.9046
1.146,1192.21,22.9173
1.148,1194.01,22.93
1.15,1195.81,22.9428
1.152,1197.62,22.9556
1.154,1199.43,22.9684
1.156,1201.24,22.9813
1.158,1203.05,22.9942
1.16,1204.87,23.0071
1.162,1206.68,23.0201
1.164,1208.5,23.0332
1.166,1210.33,23.0462
1.168,1212.15,23.0593
1.17,1213.98,23.0725
1.172,1215.82,23.0857
1.174,1217.65,23.0989
1.176,1219.49,23.1122
1.178,1221.33,23.1256
1.18,1223.17,23.1389
1.182,1225.01,23.1523
1.184,1226.86,23.1658
1.186,1228.71,23.1793
1.188,1230.57,23.1928
1.19,1232.42,23.2064
1.192,1234.28,23.22
1.194,1236.14,23.2337
1.196,1238.01,23.2474
1.198,1239.87,23.2611
1.2,1241.74,23.2749
1.202,1243.62,23.2887
1.204,1245.49,23.3026
1.206,1247.37,23.3165
1.208,1249.25,23.3305
1.21,1251.13,23.3445
1.212,1253.02,23.3585
1.214,1254.91,23.3726
1.216,1256.8,23.3868
1.218,1258.7,23.401
1.22,1260.59,23.4152
1.222,1262.49,23.4295
1.224,1264.4,23.4438
1.226,1266.3,23.4581
1.228,1268.21,23.4725
1.23,1270.12,23.487
1.232,1272.04,23.5015
1.234,1273.95,23.516
1.236,1275.87,23.5306
1.238,1277.8,23.5452
1.24,1279.72,23.5599
1.242,1281.65,23.5746
1.244,1283.58,23.5894
1.246,1285.52,23.6042
1.248,1287.45,23.619
1.25,1289.39,23.6339
1.252,1291.34,23.6489
1.254,1293.28,23.6639
1.256,1295.23,23.6789
1.258,1297.18,23.694
1.26,1299.13,23.7091
1.262,1301.09,23.7243
1.264,1303.05,23.7396
1.266,1305.01,23.7548
1.268,1306.98,23.7702
1.27,1308.95,23.7855
1.272,1310.92,23.8009
1.274,1312.89,23.8164
1.276,1314.87,23.8319
1.278,1316.85,23.8475
1.28,1318.83,23.8631
1.282,1320.82,23.8787
1.284,1322.81,23.8944
1.286,1324.8,23.9102
1.288,1326.79,23.926
1.29,1328.79,23.9418
1.292,1330.79,23.9577
1.294,1332.79,23.9737
1.296,1334.8,23.9897
1.298,1336.81,24.0057
1.3,1338.82,24.0218
1.302,1340.84,24.038
1.304,1342.85,24.0542
1.306,1344.87,24.0704
1.308,1346.9,24.0867
1.31,1348.92,24.1031
1.312,1350.95,24.1194
1.314,1352.99,24.1359
1.316,1355.02,24.1524
1.318,1357.06,24.1689
1.32,1359.1,24.1855
1.322,1361.15,24.2022
1.324,1363.2,24.2189
1.326,1365.25,24.2356
1.328,1367.3,24.2524
1.33,1369.36,24.2693
1.332,1371.42,24.2862
1.334,1373.48,24.3031
1.336,1375.54,24.3202
1.338,1377.61,24.3372
