prey 1 growth rate,0.5
prey 1 death rate,0.0006
prey 2 growth rate,0.4
prey 2 death rate,0.0005
predator growth rate,0.0008
predator death rate,0.42
x1,500
x2,200
y,20
n,10000
t (days),100

timestep,x1,x2,y
5.56,127.074,36.3211,4101.57
5.57,124.611,35.4818,4089.66
5.58,122.204,34.6637,4077.68
5.59,119.853,33.866,4065.63
5.6,117.555,33.0883,4053.52
5.61,115.31,32.3301,4041.35
5.62,113.116,31.5908,4029.12
5.63,110.972,30.8699,4016.83
5.64,108.876,30.167,4004.48
5.65,106.828,29.4816,3992.09
5.66,104.826,28.8132,3979.65
5.67,102.87,28.1614,3967.17
5.68,100.957,27.5257,3954.64
5.69,99.088,26.9058,3942.07
5.7,97.2606,26.3011,3929.47
5.71,95.4741,25.7114,3916.83
5.72,93.7275,25.1362,3904.16
5.73,92.0199,24.5752,3891.45
5.74,90.3503,24.0279,3878.72
5.75,88.7178,23.4941,3865.97
5.76,87.1214,22.9733,3853.18
5.77,85.5604,22.4652,3840.38
5.78,84.0337,21.9695,3827.56
5.79,82.5407,21.4859,3814.72
5.8,81.0805,21.0141,3801.86
5.81,79.6522,20.5537,3788.99
5.82,78.2551,20.1044,3776.1
5.83,76.8885,19.666,3763.21
5.84,75.5516,19.2382,3750.3
5.85,74.2437,18.8206,3737.39
5.86,72.9641,18.4132,3724.47
5.87,71.7121,18.0154,3711.55
5.88,70.487,17.6272,3698.62
5.89,69.2883,17.2483,3685.69
5.9,68.1152,16.8784,3672.76
5.91,66.9672,16.5174,3659.83
5.92,65.8436,16.1649,3646.9
5.93,64.7439,15.8207,3633.98
5.94,63.6675,15.4847,3621.06
5.95,62.6139,15.1566,3608.14
5.96,61.5824,14.8363,3595.24
5.97,60.5727,14.5234,3582.34
5.98,59.5841,14.218,3569.45
5.99,58.6162,13.9196,3556.57
6,57.6684,13.6283,3543.7
6.01,56.7404,13.3437,3530.84
6.02,55.8316,13.0657,3517.99
6.03,54.9416,12.7942,3505.16
6.04,54.0699,12.529,3492.35
6.05,53.2162,12.2699,3479.55
6.06,52.3799,12.0168,3466.76
6.07,51.5608,11.7695,3453.99
6.08,50.7583,11.5279,3441.25
6.09,49.9722,11.2918,3428.52
6.1,49.2019,11.0611,3415.81
6.11,48.4473,10.8356,3403.11
6.12,47.7078,10.6153,3390.44
6.13,46.9832,10.4,3377.8
6.14,46.2732,10.1895,3365.17
6.15,45.5773,9.98385,3352.57
6.16,44.8952,9.78279,3339.99
6.17,44.2267,9.58625,3327.43
6.18,43.5714,9.39412,3314.9
6.19,42.9291,9.20629,3302.39
6.2,42.2994,9.02265,3289.91
6.21,41.6821,8.8431,3277.46
6.22,41.0768,8.66754,3265.03
6.23,40.4833,8.49587,3252.63
6.24,39.9014,8.328,3240.26
6.25,39.3308,8.16383,3227.91
6.26,38.7712,8.00327,3215.59
6.27,38.2223,7.84624,3203.3
6.28,37.6841,7.69265,3191.04
6.29,37.1561,7.54241,3178.81
6.3,36.6382,7.39545,3166.61
6.31,36.1302,7.25168,3154.45
6.32,35.6318,7.11103,3142.31
6.33,35.1428,6.97342,3130.2
6.34,34.6631,6.83879,3118.12
6.35,34.1924,6.70705,3106.07
6.36,33.7305,6.57814,3094.06
6.37,33.2773,6.452,3082.08
6.38,32.8325,6.32855,3070.13
6.39,32.3959,6.20774,3058.21
6.4,31.9675,6.08949,3046.33
6.41,31.5469,5.97375,3034.48
6.42,31.1341,5.86047,3022.66
6.43,30.7289,5.74957,3010.87
6.44,30.3311,5.64102,2999.12
6.45,29.9406,5.53474,2987.41
6.46,29.5572,5.43069,2975.72
6.47,29.1807,5.32882,2964.08
6.48,28.811,5.22907,2952.46
6.49,28.448,5.13139,2940.88
6.5,28.0915,5.03575,2929.34
6.51,27.7414,4.94208,2917.83
6.52,27.3975,4.85035,2906.35
6.53,27.0598,4.76051,2894.91
6.54,26.728,4.67252,2883.51
6.55,26.4022,4.58633,2872.14
6.56,26.0821,4.5019,2860.81
6.57,25.7676,4.41919,2849.51
6.58,25.4586,4.33817,2838.25
6.59,25.155,4.2588,2827.02
6.6,24.8567,4.18103,2815.83
6.61,24.5636,4.10483,2804.67
6.62,24.2756,4.03016,2793.55
6.63,23.9926,3.957,2782.47
6.64,23.7144,3.88531,2771.43
6.65,23.441,3.81504,2760.41
6.66,23.1723,3.74618,2749.44
6.67,22.9082,3.6787,2738.5
6.68,22.6486,3.61255,2727.6
6.69,22.3933,3.54771,2716.74
6.7,22.1424,3.48415,2705.91
6.71,21.8957,3.42184,2695.12
6.72,21.6532,3.36076,2684.36
6.73,21.4147,3.30088,2673.64
6.74,21.1803,3.24217,2662.96
6.75,20.9497,3.1846,2652.31
6.76,20.723,3.12816,2641.7
6.77,20.5,3.07281,2631.13
6.78,20.2807,3.01854,2620.59
6.79,20.065,2.96531,2610.09
6.8,19.8528,2.91311,2599.63
6.81,19.6442,2.86191,2589.2
6.82,19.4389,2.8117,2578.81
6.83,19.237,2.76244,2568.46
6.84,19.0383,2.71413,2558.14
6.85,18.8429,2.66673,2547.86
6.86,18.6506,2.62024,2537.61
6.87,18.4615,2.57463,2527.41
6.88,18.2753,2.52988,2517.23
6.89,18.0922,2.48597,2507.1
6.9,17.9119,2.44289,2497
6.91,17.7345,2.40062,2486.94
6.92,17.56,2.35914,2476.91
6.93,17.3882,2.31844,2466.92
6.94,17.2191,2.27849,2456.97
